,team,number,position,height,weight,hometown,highschool,year
Carson Ochsenhirt,Amherst,0,WR,"5'10""",175,"Winnetka, IL",New Trier,2024
Cam Jones,Amherst,1,WR,"6'1""",180,"Wayland, MA",Wayland,2024
Solomon Christopher,Amherst,2,DB,"5'9""",175,"Los Angeles, CA",Harvard-Westlake School,2025
Raymond Dixon,Amherst,3,DB,"5'11""",185,"New Rochelle, NY",New Rochelle,2024
Ryan Monteleone,Amherst,4,DB,"6'0""",190,"Florham Park, NJ",Seton Hall Preparatory School,2024
Brad Breckenridge,Amherst,5,QB,"6'0""",205,"Corpus Christi, TX",WB Ray,2024
Sam Whitney,Amherst,6,QB,"6'1""",190,"Manhattan Beach, CA",St. Thomas Moore School,2026
Chad Peterson,Amherst,7,QB,"6'2""",195,"North Attleboro, MA",North Attleboro,2023
Charles McKissick,Amherst,8,DB,"6'1""",187,"Littleton, CO",Kent Denver,2023
Anthony Leneghan,Amherst,9,DL,"6'2""",250,"Philadelphia, PA",St. Joseph’s Prep,2025
Nate Lockhart,Amherst,10,DB,"6'0""",175,"Palm Harbor, FL",Berkeley Prep,2023
Mike Piazza,Amherst,11,QB,"6'0""",192,"Wellesley, MA",Belmont Hill,2024
Jack Cox,Amherst,12,QB,"6'1""",180,"Lyme, CT",Old Lyme,2025
Mason Morrow,Amherst,13,QB,"6'0""",175,"West De Moines, IA",Valley High School,2026
Tariq Muhammad,Amherst,14,TB,"5'9""",185,"Troy, MI",Cranbrook-Kingswood,2024
Clay Zachery,Amherst,15,TE,"5'11""",195,"Fairfield, CT",Choate Rosemary Hall,2023
Andy J. Skirzenski,Amherst,16,LB,"6'2""",225,"Newport, RI",Middletown,2024
Caleb Donelson,Amherst,17,DB,"5'11""",160,"Chevrly, VA",Woodbury Forest School,2026
Hugh McLaughlin,Amherst,18,QB,"6'3""",200,"Boston, MA",,2026
Niles Riding,Amherst,19,DB,"5'11""",180,"Baltimore, MD",McDonogh School,2026
Miles Harmon,Amherst,20,DB,"6'1""",170,"Washington, DC",St. Albans School,2026
Jack Betts,Amherst,21,WR,"6'4""",185,"Dallas, TX",Episcopal School of Dallas,2024
Alexis Chavez-Salinas,Amherst,22,TB,"5'9""",180,"Highlands Ranch, CO",Valor Christian,2023
Price Warfield,Amherst,23,DB,"5'9""",158,"Clarksville, TN",Clarksville,2024
